Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AXISBANK,EQ,22-Apr-16,467.95,465.6,478.5,462.1,474.8,475.85,471.33,7323373,3451759220,91742,3211904,43.86
AXISBANK,EQ,25-Apr-16,475.85,474,477.35,465,472.2,469.9,469.36,7474910,3508457273,104801,3728847,49.88
AXISBANK,EQ,26-Apr-16,469.9,470.1,484.9,463.65,477.8,480.2,473.62,12685893,6008275023,160470,3994971,31.49
AXISBANK,EQ,27-Apr-16,480.2,461.3,473.5,458.05,464.25,465.5,467.41,29544825,13809690687,327390,17910097,60.62
AXISBANK,EQ,28-Apr-16,465.5,463,471.85,461.55,466.15,468.05,466.92,16457436,7684311268,269454,9761052,59.31
AXISBANK,EQ,29-Apr-16,468.05,466.75,477.45,465.05,471,472.4,472.11,10883473,5138227495,215020,5413295,49.74
AXISBANK,EQ,02-May-16,472.4,474.35,479,468.45,472.1,471.8,472.45,9439328,4459605997,130518,4930026,52.23
AXISBANK,EQ,03-May-16,471.8,473.9,475,466.3,470.5,470.55,471.24,8097969,3816110719,138191,4471224,55.21
AXISBANK,EQ,04-May-16,470.55,466,470,460.25,464.95,462.45,463.63,8777977,4069764722,216059,4648319,52.95
AXISBANK,EQ,05-May-16,462.45,463,467.3,458.45,461.35,461.05,461.76,8736141,4033965760,172186,4740214,54.26
AXISBANK,EQ,06-May-16,461.05,461,464.05,459,461.95,461.45,461.07,4804806,2215347890,112658,2503185,52.1
AXISBANK,EQ,09-May-16,461.45,465.8,478,461.65,477.5,477.1,470.38,10228014,4811034705,190473,5897781,57.66
AXISBANK,EQ,10-May-16,477.1,479,489,478.15,487,487.95,484.03,12131886,5872137196,254875,7452498,61.43
AXISBANK,EQ,11-May-16,487.95,482.6,499.35,480.25,497.8,498.2,495.45,21878712,10839873222,196867,14113970,64.51
AXISBANK,EQ,12-May-16,498.2,498.6,506.9,490.6,494,492.55,498.87,13528266,6748889409,209144,7865002,58.14
AXISBANK,EQ,13-May-16,492.55,493.7,496.2,486.5,491.15,490.65,490.34,7426191,3641376709,122230,3978678,53.58
AXISBANK,EQ,16-May-16,490.65,492,493.65,477.25,488.7,486.45,484.45,5809867,2814564480,87709,2867831,49.36
AXISBANK,EQ,17-May-16,486.45,490.7,505.5,490.3,502.75,503.35,501.05,8982435,4500682419,154526,4501027,50.11
