Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INDUSINDBK,EQ,10-Oct-18,1607.9,1612,1666.85,1604.2,1639.9,1637.95,1639.53,2264070,3712009796,114808,1484338,65.56
INDUSINDBK,EQ,11-Oct-18,1637.95,1610,1610,1581.4,1597.9,1592.55,1594.28,2131052,3397485627,122809,1436201,67.39
INDUSINDBK,EQ,12-Oct-18,1592.55,1611.9,1659.5,1606,1652.7,1652.7,1645.98,2169080,3570253631,87030,1436819,66.24
INDUSINDBK,EQ,15-Oct-18,1652.7,1667.7,1667.7,1588.55,1631,1626.95,1616.77,4301735,6954914237,141144,941303,21.88
INDUSINDBK,EQ,16-Oct-18,1626.95,1639,1695.95,1615,1626,1620.55,1653.68,7490737,12387307988,176589,4109142,54.86
INDUSINDBK,EQ,17-Oct-18,1620.55,1636.25,1652.55,1600,1601.45,1603.9,1625.75,3532784,5743428392,114674,2168768,61.39
INDUSINDBK,EQ,19-Oct-18,1603.9,1590,1613.15,1570,1576,1576.7,1587.25,4071551,6462583877,145541,2570309,63.13
INDUSINDBK,EQ,22-Oct-18,1576.7,1590,1600.4,1421.5,1467,1449.45,1486.39,6528861,9704448444,175738,3215327,49.25
INDUSINDBK,EQ,23-Oct-18,1449.45,1435,1498,1425,1476.75,1473.15,1473.24,7242862,10670438882,195689,3767368,52.01
INDUSINDBK,EQ,24-Oct-18,1473.15,1490,1528.7,1480.05,1520.55,1521.35,1507.69,2177827,3283491377,94564,1025363,47.08
INDUSINDBK,EQ,25-Oct-18,1521.35,1502.1,1522.9,1475.6,1493.95,1491.1,1498.85,4971095,7450901954,122724,2232433,44.91
INDUSINDBK,EQ,26-Oct-18,1491.1,1496.5,1498,1438.1,1443,1445.8,1468.94,2263193,3324489406,71070,1287851,56.9
INDUSINDBK,EQ,29-Oct-18,1445.8,1445,1445,1375,1410,1412.8,1400.8,4620039,6471763842,193184,2344915,50.76
INDUSINDBK,EQ,30-Oct-18,1412.8,1410,1410,1349.6,1353.5,1364.3,1382.36,5974755,8259239554,143123,4197370,70.25
INDUSINDBK,EQ,31-Oct-18,1364.3,1355,1436.2,1333.15,1420.5,1425.1,1382.61,6474213,8951286682,238791,3263957,50.41
INDUSINDBK,EQ,01-Nov-18,1425.1,1402,1492.95,1398,1461.6,1463.95,1455.55,5635786,8203192129,200867,2573352,45.66
INDUSINDBK,EQ,02-Nov-18,1463.95,1485,1554.9,1475,1535.9,1541.8,1526.54,5732745,8751247179,238952,3577859,62.41
INDUSINDBK,EQ,05-Nov-18,1541.8,1535,1535,1480.2,1484.25,1486.45,1501.16,2926342,4392921002,111269,1516390,51.82
INDUSINDBK,EQ,06-Nov-18,1486.45,1490,1511.6,1442.65,1479.45,1475.45,1474.66,2830304,4173744579,93469,962000,33.99
INDUSINDBK,EQ,07-Nov-18,1475.45,1486,1501.15,1475,1482.75,1483.9,1483.23,140435,208296753.7,5079,24542,17.48
INDUSINDBK,EQ,09-Nov-18,1483.9,1477.1,1520.3,1476,1498.05,1494.9,1499.57,1913755,2869805435,87812,781301,40.83
INDUSINDBK,EQ,12-Nov-18,1494.9,1501.9,1519,1478.2,1486.1,1493,1498.16,1434191,2148648147,72546,510545,35.6
INDUSINDBK,EQ,13-Nov-18,1493,1485.1,1496.3,1463.55,1488.95,1485.55,1478.3,1678410,2481201432,43788,628008,37.42
INDUSINDBK,EQ,14-Nov-18,1485.55,1498,1529,1492.5,1512,1513.55,1510.37,1888029,2851622629,81493,869552,46.06
INDUSINDBK,EQ,15-Nov-18,1513.55,1515,1533.25,1498,1511,1512.15,1518.2,1362884,2069126065,75426,674054,49.46
INDUSINDBK,EQ,16-Nov-18,1512.15,1519,1526,1486.75,1498.35,1501.1,1504.32,1222318,1838755374,42687,567921,46.46
INDUSINDBK,EQ,19-Nov-18,1501.1,1503,1541.3,1484.35,1537.1,1537.95,1521.25,2054251,3125030919,45068,1142705,55.63
INDUSINDBK,EQ,20-Nov-18,1537.95,1535,1569.9,1528.35,1552.85,1557.85,1561.12,2718989,4244680564,89706,1358134,49.95
INDUSINDBK,EQ,21-Nov-18,1557.85,1558.5,1568.95,1538.4,1549.05,1546.7,1548.76,984774,1525176478,35531,357802,36.33
INDUSINDBK,EQ,22-Nov-18,1546.7,1548,1563.95,1522,1525,1528.85,1539.45,1038896,1599332630,44166,400590,38.56
INDUSINDBK,EQ,26-Nov-18,1528.85,1538,1567.7,1532.05,1563,1562.75,1554.9,1365620,2123405442,46233,547215,40.07
INDUSINDBK,EQ,27-Nov-18,1562.75,1553.7,1593.85,1548.8,1590,1588.55,1575.98,1707401,2690832987,55001,580638,34.01
INDUSINDBK,EQ,28-Nov-18,1588.55,1596,1620,1592.2,1618.9,1613.35,1608.92,2408350,3874841560,90792,1201941,49.91
INDUSINDBK,EQ,29-Nov-18,1613.35,1629,1670.95,1619,1667,1660.55,1649.83,2975979,4909861329,88768,1410671,47.4
INDUSINDBK,EQ,30-Nov-18,1660.55,1664.5,1674.45,1623,1640.9,1631.8,1646.36,1391187,2290392313,70501,567110,40.76
INDUSINDBK,EQ,03-Dec-18,1631.8,1648.5,1661.85,1636.3,1653.8,1656.3,1648.69,1509308,2488387548,64500,868455,57.54
INDUSINDBK,EQ,04-Dec-18,1656.3,1653,1658.9,1631.8,1637,1635.75,1639.24,1311350,2149621111,78728,824239,62.85
INDUSINDBK,EQ,05-Dec-18,1635.75,1630,1630,1591.8,1603.25,1603.6,1608.87,1669427,2685883835,95597,971844,58.21
INDUSINDBK,EQ,06-Dec-18,1603.6,1594.2,1594.3,1560,1567.25,1569.45,1573.66,1605950,2527226765,60322,938265,58.42
INDUSINDBK,EQ,07-Dec-18,1569.45,1572,1580,1531.05,1570.65,1566.8,1554.78,1502809,2336532817,63012,619653,41.23
